Tabla_Index,Numero,Posicion,Nombre,Club,Fecha_Nacimiento,Edad
46,17,DF,Abdul Rahman Baba,PAOK,1994-07-02,31
46,18,DF,Jerome Opoku,İstanbul Başakşehir,1998-10-14,27
46,19,FW,Iñaki Williams,Athletic Bilbao,1994-06-15,31
46,20,MF,Augustine Boakye,Saint-Étienne,2000-11-03,25
46,21,DF,Kojo Peprah Oppong,Nice,2004-06-04,22
46,22,FW,Kamaldeen Sulemana,Atalanta,2002-02-15,24
46,23,DF,Derrick Luckassen,Pafos,1995-07-03,30
46,24,FW,Ernest Nuamah,Lyon,2003-11-01,22
46,25,FW,Prince Kwabena Adu,Viktoria Plzeň,2003-09-23,22
46,26,DF,Marvin Senaya,Auxerre,2001-01-28,25
47,1,GK,Luis Mejía,Nacional,1991-03-16,35
47,2,DF,César Blackman,Slovan Bratislava,1998-04-02,28
47,3,DF,José Córdoba,Norwich City,2001-06-03,25
47,4,DF,Fidel Escobar,Saprissa,1995-01-09,31
47,5,DF,Edgardo Fariña,Pari Nizhny Novgorod,2001-10-19,24
47,6,MF,Cristian Martínez,Ironi Kiryat Shmona,1997-02-06,29
47,7,MF,José Luis Rodríguez,Juárez,1998-06-19,27
47,8,MF,Adalberto Carrasquilla,Pumas UNAM,1998-11-28,27
47,9,FW,Tomás Rodríguez,Saprissa,1999-03-09,27
47,10,MF,Ismael Díaz,León,1997-05-12,29
47,11,MF,Yoel Bárcenas,Mazatlán,1993-10-23,32
47,12,GK,César Samudio,Marathón,1994-02-23,32
47,13,DF,Jiovany Ramos,Puerto Cabello,1997-01-26,29
47,14,DF,Carlos Harvey,Minnesota United FC,2000-02-03,26
47,15,DF,Eric Davis,Plaza Amador,1991-03-31,35
47,16,DF,Andrés Andrade,LASK,1998-10-16,27
47,17,FW,José Fajardo,Universidad Católica,1993-08-18,32
47,18,FW,Cecilio Waterman,Universidad de Concepción,1991-04-13,35
47,19,MF,Alberto Quintero,Plaza Amador,1987-12-18,38
47,20,MF,Aníbal Godoy,San Diego FC,1990-02-10,36
47,21,MF,César Yanis,Cobresal,1996-01-28,30
47,22,GK,Orlando Mosquera,Al-Fayha,1994-12-25,31
47,23,DF,Michael Amir Murillo,Beşiktaş,1996-02-11,30
47,24,FW,Azarias Londoño,Universidad Católica,2001-06-21,24
47,25,DF,Roderick Miller,Turan Tovuz,1992-04-03,34
47,26,DF,Jorge Gutiérrez,Deportivo La Guaira,1998-09-01,27
